timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1541167977700,1343,Facebook,200,OK,MEAN 1-1,text,true,,514318,120,1,1,https://www.facebook.com/,472,0,111
1541167979045,1329,Facebook,200,OK,MEAN 1-1,text,true,,513911,120,1,1,https://www.facebook.com/,459,0,120
1541167980379,1318,Facebook,200,OK,MEAN 1-1,text,true,,514407,120,1,1,https://www.facebook.com/,456,0,102
1541167981698,1187,Facebook,200,OK,MEAN 1-1,text,true,,514395,120,1,1,https://www.facebook.com/,310,0,115
1541167982887,1279,Facebook,200,OK,MEAN 1-1,text,true,,514506,120,1,1,https://www.facebook.com/,405,0,106
1541167984167,1436,Facebook,200,OK,MEAN 1-1,text,true,,514484,120,1,1,https://www.facebook.com/,560,0,132
1541167985604,1333,Facebook,200,OK,MEAN 1-1,text,true,,514391,120,1,1,https://www.facebook.com/,453,0,138
1541167986938,1433,Facebook,200,OK,MEAN 1-1,text,true,,514345,120,1,1,https://www.facebook.com/,557,0,107
1541167988373,1418,Facebook,200,OK,MEAN 1-1,text,true,,514074,120,1,1,https://www.facebook.com/,554,0,121
1541167989793,1329,Facebook,200,OK,MEAN 1-1,text,true,,514799,120,1,1,https://www.facebook.com/,463,0,123
1541167991123,1323,Facebook,200,OK,MEAN 1-1,text,true,,514492,120,1,1,https://www.facebook.com/,463,0,122
1541167992448,1295,Facebook,200,OK,MEAN 1-1,text,true,,514355,120,1,1,https://www.facebook.com/,418,0,113
1541167993745,1481,Facebook,200,OK,MEAN 1-1,text,true,,514440,120,1,1,https://www.facebook.com/,607,0,116
1541167995227,1531,Facebook,200,OK,MEAN 1-1,text,true,,514267,120,1,1,https://www.facebook.com/,642,0,124
1541167996759,1328,Facebook,200,OK,MEAN 1-1,text,true,,513994,120,1,1,https://www.facebook.com/,458,0,123
1541167998089,1435,Facebook,200,OK,MEAN 1-1,text,true,,513967,120,1,1,https://www.facebook.com/,564,0,143
1541167999526,1386,Facebook,200,OK,MEAN 1-1,text,true,,514027,120,1,1,https://www.facebook.com/,458,0,110
1541168000914,1374,Facebook,200,OK,MEAN 1-1,text,true,,513951,120,1,1,https://www.facebook.com/,505,0,112
1541168002289,1280,Facebook,200,OK,MEAN 1-1,text,true,,514049,120,1,1,https://www.facebook.com/,423,0,98
1541168003570,1516,Facebook,200,OK,MEAN 1-1,text,true,,514069,120,1,1,https://www.facebook.com/,612,0,123
1541168005087,1295,Facebook,200,OK,MEAN 1-1,text,true,,514778,120,1,1,https://www.facebook.com/,427,0,117
1541168006383,1328,Facebook,200,OK,MEAN 1-1,text,true,,514497,120,1,1,https://www.facebook.com/,462,0,129
1541168007712,1325,Facebook,200,OK,MEAN 1-1,text,true,,514400,120,1,1,https://www.facebook.com/,464,0,112
1541168009038,1437,Facebook,200,OK,MEAN 1-1,text,true,,514394,120,1,1,https://www.facebook.com/,571,0,212
1541168010478,1466,Facebook,200,OK,MEAN 1-1,text,true,,514019,120,1,1,https://www.facebook.com/,566,0,110
1541168011945,1421,Facebook,200,OK,MEAN 1-1,text,true,,514501,120,1,1,https://www.facebook.com/,532,0,124
1541168013368,1200,Facebook,200,OK,MEAN 1-1,text,true,,514383,120,1,1,https://www.facebook.com/,341,0,109
1541168014569,1436,Facebook,200,OK,MEAN 1-1,text,true,,514900,120,1,1,https://www.facebook.com/,570,0,116
1541168016006,1234,Facebook,200,OK,MEAN 1-1,text,true,,514152,120,1,1,https://www.facebook.com/,362,0,122
1541168017241,1326,Facebook,200,OK,MEAN 1-1,text,true,,514125,120,1,1,https://www.facebook.com/,459,0,111
1541168018569,1436,Facebook,200,OK,MEAN 1-1,text,true,,514392,120,1,1,https://www.facebook.com/,564,0,110
1541168020006,1324,Facebook,200,OK,MEAN 1-1,text,true,,514349,120,1,1,https://www.facebook.com/,457,0,108
1541168021331,1467,Facebook,200,OK,MEAN 1-1,text,true,,514374,120,1,1,https://www.facebook.com/,462,0,96
1541168022800,1298,Facebook,200,OK,MEAN 1-1,text,true,,514488,120,1,1,https://www.facebook.com/,429,0,128
1541168024100,1449,Facebook,200,OK,MEAN 1-1,text,true,,513916,120,1,1,https://www.facebook.com/,577,0,110
